,Buy,Sell,Hols,Firsts,Fridays
253,2011-04-30,2011-05-03,0,1,0
254,2011-05-31,2011-06-03,0,1,0
255,2011-06-30,2011-07-03,0,1,0
256,2011-07-31,2011-08-03,0,1,0
257,2011-08-31,2011-09-03,0,1,0
258,2011-09-30,2011-10-03,0,1,1
259,2011-10-31,2011-11-03,0,1,0
260,2011-11-30,2011-12-03,0,1,0
261,2011-12-31,2012-01-03,0,1,0
262,2012-01-31,2012-02-03,0,1,0
263,2012-02-29,2012-03-03,0,1,0
264,2012-03-31,2012-04-03,0,1,0
265,2012-05-31,2012-06-03,0,1,0
266,2012-06-30,2012-07-03,0,1,0
267,2012-07-31,2012-08-03,0,1,0
268,2012-08-31,2012-09-03,0,1,1
269,2012-09-30,2012-10-03,0,1,0
270,2012-10-31,2012-11-03,0,1,0
271,2012-11-30,2012-12-03,0,1,1
272,2013-01-31,2013-02-03,0,1,0
273,2013-02-28,2013-03-03,0,1,0
274,2013-05-31,2013-06-03,0,1,1
275,2013-06-30,2013-07-03,0,1,0
276,2013-07-31,2013-08-03,0,1,0
277,2013-08-31,2013-09-03,0,1,0
278,2013-09-30,2013-10-03,0,1,0
279,2013-10-31,2013-11-03,0,1,0
280,2013-11-30,2013-12-03,0,1,0
281,2014-01-31,2014-02-03,0,1,1
282,2014-02-28,2014-03-03,0,1,1
283,2014-03-31,2014-04-03,0,1,0
284,2014-05-31,2014-06-03,0,1,0
285,2014-06-30,2014-07-03,0,1,0
286,2014-07-31,2014-08-03,0,1,0
287,2014-08-31,2014-09-03,0,1,0
288,2014-09-30,2014-10-03,0,1,0
289,2014-10-31,2014-11-03,0,1,1
290,2014-11-30,2014-12-03,0,1,0
291,2015-01-31,2015-02-03,0,1,0
292,2015-02-28,2015-03-03,0,1,0
293,2015-03-31,2015-04-03,0,1,0
294,2015-05-31,2015-06-03,0,1,0
295,2015-06-30,2015-07-03,0,1,0
296,2015-07-31,2015-08-03,0,1,1
297,2015-08-31,2015-09-03,0,1,0
298,2015-09-30,2015-10-03,0,1,0
299,2015-10-31,2015-11-03,0,1,0
300,2015-11-30,2015-12-03,0,1,0
301,2016-01-31,2016-02-03,0,1,0
302,2016-02-29,2016-03-03,0,1,0
303,2016-03-31,2016-04-03,0,1,0
304,2016-04-30,2016-05-03,0,1,0
305,2016-05-31,2016-06-03,0,1,0
306,2016-06-30,2016-07-03,0,1,0
307,2016-07-31,2016-08-03,0,1,0
308,2016-08-31,2016-09-03,0,1,0
309,2016-09-30,2016-10-03,0,1,1
310,2016-10-31,2016-11-03,0,1,0
311,2016-11-30,2016-12-03,0,1,0
312,2016-12-31,2017-01-03,0,1,0
313,2017-01-31,2017-02-03,0,1,0
314,2017-02-28,2017-03-03,0,1,0
315,2017-03-31,2017-04-03,0,1,1
316,2017-05-31,2017-06-03,0,1,0
317,2017-06-30,2017-07-03,0,1,1
318,2017-07-31,2017-08-03,0,1,0
319,2017-08-31,2017-09-03,0,1,0
320,2017-09-30,2017-10-03,0,1,0
321,2017-10-31,2017-11-03,0,1,0
322,2017-11-30,2017-12-03,0,1,0
323,2018-01-31,2018-02-03,0,1,0
324,2018-02-28,2018-03-03,0,1,0
325,2018-03-31,2018-04-03,0,1,0
326,2018-05-31,2018-06-03,0,1,0
327,2018-06-30,2018-07-03,0,1,0
328,2018-07-31,2018-08-03,0,1,0
329,2018-08-31,2018-09-03,0,1,1
330,2018-09-30,2018-10-03,0,1,0
331,2018-10-31,2018-11-03,0,1,0
332,2018-11-30,2018-12-03,0,1,1
333,2018-12-31,2019-01-03,0,1,0
334,2000-01-07,2000-01-10,0,0,1
335,2000-01-14,2000-01-17,0,0,1
336,2000-01-21,2000-01-24,0,0,1
337,2000-01-28,2000-01-31,0,0,1
338,2000-02-04,2000-02-07,0,0,1
339,2000-02-11,2000-02-14,0,0,1
340,2000-02-18,2000-02-21,0,0,1
341,2000-02-25,2000-02-28,0,0,1
342,2000-03-03,2000-03-06,0,0,1
343,2000-03-10,2000-03-13,0,0,1
344,2000-03-17,2000-03-20,0,0,1
345,2000-03-24,2000-03-27,0,0,1
346,2000-04-07,2000-04-10,0,0,1
347,2000-04-14,2000-04-17,0,0,1
348,2000-04-21,2000-04-24,0,0,1
349,2000-04-28,2000-05-01,0,0,1
350,2000-05-05,2000-05-08,0,0,1
351,2000-05-12,2000-05-15,0,0,1
352,2000-05-19,2000-05-22,0,0,1
353,2000-05-26,2000-05-29,0,0,1
354,2000-06-02,2000-06-05,0,0,1
355,2000-06-09,2000-06-12,0,0,1
356,2000-06-16,2000-06-19,0,0,1
